lane_id	source_center	destination_center	route_type	week_start	segment_count	trip_count	avg_delay_minutes	prior_week_avg_delay_minutes	wow_avg_delay_change_minutes	sla_breach_rate_pct	prior_week_sla_breach_rate_pct	wow_sla_breach_rate_change_pct
IND360575AAA -> IND360510AAB | Carting	IND360575AAA	IND360510AAB	Carting	2018-09-10	12	3	7.92	NULL	NULL	33.33	NULL	NULL
IND360575AAA -> IND360510AAB | Carting	IND360575AAA	IND360510AAB	Carting	2018-09-17	7	2	12.14	7.92	4.22	42.86	33.33	9.53
IND360575AAA -> IND360510AAB | Carting	IND360575AAA	IND360510AAB	Carting	2018-09-24	16	4	7.25	12.14	-4.89	25.00	42.86	-17.86
IND360575AAA -> IND360510AAB | Carting	IND360575AAA	IND360510AAB	Carting	2018-10-01	4	1	5.5	7.25	-1.75	0.00	25.00	-25.00
IND361001AAA -> IND361305AAC | FTL	IND361001AAA	IND361305AAC	FTL	2018-09-10	9	3	13.89	NULL	NULL	33.33	NULL	NULL
IND361001AAA -> IND361305AAC | FTL	IND361001AAA	IND361305AAC	FTL	2018-09-17	9	3	8.56	13.89	-5.33	22.22	33.33	-11.11
IND361001AAA -> IND361305AAC | FTL	IND361001AAA	IND361305AAC	FTL	2018-09-24	21	7	10.05	8.56	1.49	33.33	22.22	11.11
IND361001AAA -> IND361305AAC | FTL	IND361001AAA	IND361305AAC	FTL	2018-10-01	9	3	11.89	10.05	1.84	33.33	33.33	0.00
IND361305AAC -> IND361315AAA | FTL	IND361305AAC	IND361315AAA	FTL	2018-09-10	6	3	11	NULL	NULL	16.67	NULL	NULL
IND361305AAC -> IND361315AAA | FTL	IND361305AAC	IND361315AAA	FTL	2018-09-17	4	2	14.25	11	3.25	50.00	16.67	33.33
IND361305AAC -> IND361315AAA | FTL	IND361305AAC	IND361315AAA	FTL	2018-09-24	10	5	8.9	14.25	-5.35	10.00	50.00	-40.00
IND361305AAC -> IND361335AAA | FTL	IND361305AAC	IND361335AAA	FTL	2018-09-24	4	1	8.75	NULL	NULL	0.00	NULL	NULL
IND361315AAA -> IND361335AAA | FTL	IND361315AAA	IND361335AAA	FTL	2018-09-10	6	3	7	NULL	NULL	0.00	NULL	NULL
IND361315AAA -> IND361335AAA | FTL	IND361315AAA	IND361335AAA	FTL	2018-09-17	6	3	10	7	3	0.00	0.00	0.00
IND361315AAA -> IND361335AAA | FTL	IND361315AAA	IND361335AAA	FTL	2018-09-24	10	5	8	10	-2	0.00	0.00	0.00
IND361335AAA -> IND360002AAB | FTL	IND361335AAA	IND360002AAB	FTL	2018-09-10	9	1	7.33	NULL	NULL	0.00	NULL	NULL
IND362001AAA -> IND360370AAA | FTL	IND362001AAA	IND360370AAA	FTL	2018-09-10	8	4	12.5	NULL	NULL	62.50	NULL	NULL
IND362001AAA -> IND360370AAA | FTL	IND362001AAA	IND360370AAA	FTL	2018-09-17	6	3	10.83	12.5	-1.67	66.67	62.50	4.17
IND362001AAA -> IND360370AAA | FTL	IND362001AAA	IND360370AAA	FTL	2018-09-24	4	2	11.5	10.83	0.67	50.00	66.67	-16.67
IND362001AAA -> IND360370AAA | FTL	IND362001AAA	IND360370AAA	FTL	2018-10-01	2	1	34	11.5	22.5	50.00	50.00	0.00
IND362001AAA -> IND360575AAA | Carting	IND362001AAA	IND360575AAA	Carting	2018-09-10	40	4	3.38	NULL	NULL	7.50	NULL	NULL
IND362001AAA -> IND360575AAA | Carting	IND362001AAA	IND360575AAA	Carting	2018-09-17	20	2	3.75	3.38	0.37	10.00	7.50	2.50
IND362001AAA -> IND360575AAA | Carting	IND362001AAA	IND360575AAA	Carting	2018-09-24	42	4	6	3.75	2.25	21.43	10.00	11.43
IND362001AAA -> IND360575AAA | Carting	IND362001AAA	IND360575AAA	Carting	2018-10-01	10	1	3.9	6	-2.1	20.00	21.43	-1.43
IND362001AAA -> IND362220AAA | Carting	IND362001AAA	IND362220AAA	Carting	2018-09-10	15	4	4.47	NULL	NULL	26.67	NULL	NULL
IND362001AAA -> IND362220AAA | Carting	IND362001AAA	IND362220AAA	Carting	2018-09-17	13	4	11.92	4.47	7.45	38.46	26.67	11.79
IND362001AAA -> IND362220AAA | Carting	IND362001AAA	IND362220AAA	Carting	2018-09-24	20	5	9	11.92	-2.92	35.00	38.46	-3.46
IND362001AAA -> IND362220AAA | Carting	IND362001AAA	IND362220AAA	Carting	2018-10-01	4	1	9.25	9	0.25	50.00	35.00	15.00
IND362001AAA -> IND362265AAA | Carting	IND362001AAA	IND362265AAA	Carting	2018-09-17	8	1	6.62	NULL	NULL	37.50	NULL	NULL
IND362001AAA -> IND362265AAA | Carting	IND362001AAA	IND362265AAA	Carting	2018-10-01	8	1	3	6.62	-3.62	25.00	37.50	-12.50
IND362150AAA -> IND362001AAA | Carting	IND362150AAA	IND362001AAA	Carting	2018-09-10	14	3	10.5	NULL	NULL	14.29	NULL	NULL
IND362150AAA -> IND362001AAA | Carting	IND362150AAA	IND362001AAA	Carting	2018-09-17	21	4	9.14	10.5	-1.36	23.81	14.29	9.52
IND362150AAA -> IND362001AAA | Carting	IND362150AAA	IND362001AAA	Carting	2018-09-24	13	3	14.38	9.14	5.24	46.15	23.81	22.34
IND362150AAA -> IND362001AAA | Carting	IND362150AAA	IND362001AAA	Carting	2018-10-01	6	1	4.5	14.38	-9.88	0.00	46.15	-46.15
IND362220AAA -> IND362225AAA | Carting	IND362220AAA	IND362225AAA	Carting	2018-09-10	6	2	8.5	NULL	NULL	33.33	NULL	NULL
IND362220AAA -> IND362225AAA | Carting	IND362220AAA	IND362225AAA	Carting	2018-09-17	9	3	8	8.5	-0.5	33.33	33.33	0.00
IND362220AAA -> IND362225AAA | Carting	IND362220AAA	IND362225AAA	Carting	2018-09-24	3	1	8	8	0	33.33	33.33	0.00
IND362220AAA -> IND362265AAA | Carting	IND362220AAA	IND362265AAA	Carting	2018-09-24	5	1	4.2	NULL	NULL	20.00	NULL	NULL
IND362220AAA -> IND362265AAA | Carting	IND362220AAA	IND362265AAA	Carting	2018-10-01	5	1	3.6	4.2	-0.6	20.00	20.00	0.00
IND362225AAA -> IND362265AAA | Carting	IND362225AAA	IND362265AAA	Carting	2018-09-10	7	2	5.86	NULL	NULL	14.29	NULL	NULL
IND362225AAA -> IND362265AAA | Carting	IND362225AAA	IND362265AAA	Carting	2018-09-17	11	3	6.27	5.86	0.41	18.18	14.29	3.89
IND362225AAA -> IND362265AAA | Carting	IND362225AAA	IND362265AAA	Carting	2018-09-24	4	1	5.75	6.27	-0.52	25.00	18.18	6.82
